61,29.5
91,0
92,14.069
93,0
96,0
273,13.7
847,18.69
1931,13.3333
2074,33.49
2219,29.069
2231,9
2271,22.4444
2292,23.99
2307,37
2325,19.49
2471,0
2795,20
2808,26.38
2823,18.7
3156,18.89
3270,25
3273,18.15
3486,9.75
3808,34.95
3833,13.99
3899,21
3987,0
4049,9.25
4100,6.99
4131,7.9
4133,25
4402,8.67
4990,9.89
5047,28
5346,7.9
5485,26.9
5492,7.9
5733,17.6
5826,8.69
6271,8.45
6306,9.6
6544,31.99
6862,7.88
6924,16
7103,29.49
7229,32.5
7468,18.5
7568,27
7629,0
7643,24.69
7681,0
7713,26.6
7753,12.7
8067,15.99
8315,12.99
8374,14.35
8446,33.99
8581,26
8721,23.6
8749,0
8759,0
8801,20.5
8805,42
8822,32
8833,20.1
8928,35.87
9033,19.49
9134,23.5
9265,18.69
9409,19.5
9968,20.99
