298,13
356,8.7
746,22.4
379,11.25
561,21
776,3.154
855,8.7
602,25.95
1176,13.4
1304,8.8
1319,23
606,57.5
1354,27.98
699,12.89
714,13.999999
1405,10
1430,12
1482,2.65
1490,26.99
1543,19.5555
1551,11.95
1562,26
1587,12
1597,13.4
1700,22.8
1713,30
1722,2
1868,26.49
1884,11.5
1901,2.397
1927,18.5
1969,13.5
1972,13.5
1994,11.69
2013,22.5
2049,9.9
2065,2.4
2185,2.36
2240,27.98
2269,25.49
2308,12
2390,11.35
2421,19.15
2505,10.7298201
2519,23.49
2574,27.5
2628,35
2693,12
2737,24.8
2808,11.152
2878,27.49
2929,12
2965,12.9
3071,13.4
3132,12.6999
3206,17
3243,24.58
3446,7.88
3479,3.35
3486,12.95
3538,26.65
3626,11.5
3627,9.99
3658,27.52
3780,22.5
3792,17.65
3850,19.98
3915,13
3952,11.99
4135,25.99
4174,0
4337,0
4341,13.5
4365,12.6
4429,11.3
4503,29
4578,2.88
4624,13
4759,10.528
4801,23.9
4810,22.5
4866,5.68
4932,13.5
4993,0
5138,12.6
5140,0
5251,14.8
5262,10
5267,2.8766
5502,9.1
5640,13.3
5865,10.99
6055,12
6063,25.9
6135,12.88
6301,4.888
6564,18
6637,12.6
6674,28
6825,0
6826,0
6828,13.4
6829,0
7070,0
7071,13.4
7072,13.4
7073,0
7126,10.69
7248,29
7273,11.5
7304,2.868
7322,12.34
7343,11.5
7457,12.8
7482,9.1919
7536,12
7569,11.68
7624,27
7730,28
7831,28
7833,9.99
7863,15.9
7869,12.6
7916,13.5
7998,0
8126,12.92
8132,10
8241,11
8405,11
8527,13.3
8531,2.289
8549,13.3
8550,0
8673,10.99
8709,13.4669
8764,14.74
9076,14.95
9128,9.25
9176,16
9267,2.595
9349,12.98
8552,0
9350,2.87
9372,2.15
8614,10.7512
8628,25.7
9385,12.63
9411,33.89
8659,10.41953
9588,30
8662,28
9801,2.9
9894,0
