nft_name,total_supply,total_volume,owners,contract_address
Life's A Joke NFT Official,5555,401.652405722567,1990,0x6cb26df0c825fece867a84658f87b0ecbcea72f6
popoPOPOpopo,3007,400.34291517796737,1345,0xdcc596a145af23a2627936ebcb9518a16bbdb43b
11 Captain's Club (Official),1111,392.05429888,601,0x2c2ed910eb79b48fbbd949ad59636ffca83c8a17
uglyduck.wtf,9999,390.115039985365,2303,0xc50b06f4444c5a795f1246d9416adffc178033fb
Tribe Odyssey,9013,389.390506100587,1794,0x77f649385ca963859693c3d3299d36dfc7324eb9
SteezyApeGang,4444,388.290271882304,779,0x70789e18a75611a9516d6251d650d096740a9e07
Strxngers,6666,386.056293300319,2154,0xe5b4d6b5f37cae9dc4c7384cd97038cd0573d7d2
Big Eye Rebellion,10000,383.1939161470447,1988,0x495f1ec64467539cad047629086e3cd95459e374
Wiiides,10000,379.4000164054983,2963,0x72a94e6c51cb06453b84c049ce1e1312f7c05e2c
Pawn Bots,8888,376.343686179026,765,0x28f0521c77923f107e29a5502a5a1152517f9000
ENS Maxis,10000,373.226356239501,2383,0xaa462106da447c0440a4be29614c19387a59a331
AdWorld,3333,368.80101400442084,1398,0x62eb144fe92ddc1b10bcade03a0c09f6fbffbffb
ADVENTUROUS HALFLINGS,10000,365.222384789706,2289,0x5266c5aca260818be013c80bd9ed5ba0f3d49070
Lazy Cubs Official,7411,364.088812662555,3033,0xe6a9826e3b6638d01de95b55690bd4ee7eff9441
Right Click Share by XCOPY and Deca,981,361.8132922890101,750,0xd16809c0a7d82c9e7552a01fd608fff90efb564f
Ethalien VOX,10000,361.6286096036503,3026,0x41f57e862c863721322d0dd0fe8ea8091a459439
Shrapnel Operators Collection,10001,357.282496630001,2326,0xfc8a98c22a9e32948ab028414d67c62c49b16864
Tiny Astro Genesis,3000,356.925986946576,1919,0x7b692917124f64e1658d67c72ab5df5219078e37
Kuma Boss,5569,354.7886682302391,2902,0xa27083006d32dd86180ddd1e218d67f1e371801a
3FACE | art that adapts to you,3711,347.837854699971,1015,0xd20969460645add745f3f490d0f7aee1be60b741
SOULS,721,343.4339274773135,2789,0x477f516db22683e65df58c2cba4f5d5859d48424
MetalCore Infantry Genesis,10000,343.43392474028,1228,0x8e5324d34ee9ab2ed84ac9ba237ca0433e89130c
Rotten Anti Social Club,9582,342.008346967025,2700,0xdcb1cdfe2b5f592e7bdc2696b7a68c6e866c4cc2
Neo Samurai Monkeys,3600,341.09011698979,1042,0x7fa162d3d44fe8d30e344cc000493da7cb6c6fbb
CryptoHippos Official,10000,340.3459867722,2581,0x8a1658607793276301a2769bf49b16d98ac16fd8
Isekai Battle,6500,336.77920769000036,851,0x35883f8eb8c3fc9403edf3b84cc76b0e8a39dc85
Fat Rat Mafia,7739,330.154483214435,2018,0x2b9fd4d651414e51c9ba56ae1add36bb71cca24b
Care Bears Forever ETH,1658,329.00686457609334,997,0x7c3e8096b70a4ddc04c4344b8f33b97c9d12bc4e
Gino's Big Town Chef - Genesis Chefs,10000,325.7259293254078,2546,0x152cc0b640fa85fecff43d2a417fa9b369661b97
KILLABITS,3333,322.6853886999,566,0x64a1c0937728d8d2fa8cd81ef61a9c860b7362db
MetaLizards Official,4444,321.9040862763299,1316,0xef8c662114494e2c7999e5deab46c25ebd2c7e68
Prisoner of War NFT,4444,314.62454810443114,1529,0x658bdf5cba855e04724589a61c3e4b1856b69a5b
PirateApes,5700,313.166178820117,1375,0x3b9edbc42ba4acedb4f2aa290aefbb40cd10fcac
Project Atama Genesis,333,312.822601639939,278,0xef5e3e60bd031498318ac97cf55db74357256282
dwarftown.wtf,10000,312.050517573887,3057,0xaab231e11be1cf084d62748511b893bd953bec62
Mad Banana Union,6969,306.79396861067414,2294,0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852
EVMavericks,1324,306.71183625452386,1057,0x7ddaa898d33d7ab252ea5f89f96717c47b2fee6e
Bones by Jarritos,777,302.021768604618,384,0xd97c7c5c30feba950790d3a6f72d98509499112c
Tasties,5000,301.82813817452745,1158,0xd4d1f32c280056f107ad4adf8e16bc02f2c5b339
Gossamer Academy,10000,297.794062751305,2505,0xad6917fc71101d377f5cbbc5b1fc0e941f08ae58
Fuzzle,1741,293.1493856389,1278,0x04942f6e50086a371c66d51710b0cc5eea91cf37
Pudgy Pepes,8888,289.35881849956655,2886,0xff2351228add6cb04e6694af4258368435eb0ce3
Goblinland_wtf,5000,288.60930229520443,2139,0x3b3698303f600f11589c3dc6e2b0abf18b79cd55
MM3NFT,1112,287.5871089,1007,0x596cfe8d6709a86d51ff0c18ebf0e66561b08ae3
.bit: Web3 Identity,13116,286.983559989775,3432,0x60eb332bd4a0e2a9eeb3212cfdd6ef03ce4cb3b5
Asprey Studio Club,241,286.099238472389,181,0x7a5ddd28d150ecb1a39420e5223143268497944a
BLOOM.xyz,3003,282.147261432209,2062,0x8d58c070394265d733094b8841b0453bc6e510f1
Glizzy Gang V2,5555,280.96194456652586,1891,0xa727cea448c740fbf827574026395cf7e5f973c1
TORI ZERO-REDLAB,6322,280.7066703369027,3052,0x94ef36a4874260036b368fbb088abba369e50279
ETHTerrestrials,4269,280.33740095775687,778,0xd65c5d035a35f41f31570887e3ddf8c3289eb920
Loveless City Abnormal Jean,8888,275.7317326642065,1598,0x20bd0551f05dc40117d6b91dfa9f67d25307d1d8
The Saudi Ape,5555,274.31372751537344,1653,0xc0c30d6bbd74f5c11e255dd34bc2fa7af03122bf
Mutant Baby Apepe YC,6398,273.4556037869131,1725,0x1000b3bdc7faebb1ffff9ceb65e54b6360c2d99d
3L-Biomes,8593,271.3032586000042,3983,0xec7726b20f93e7a5e8c4306e1850ca9c0310254a
MutantAI,10097,269.0041785803137,2200,0x44102bd86bccb4efe8e90b4a4d5c4e43a895d22e
My Final Form by DNS_ERR,2777,267.86399936891837,959,0xe8e2b12e02cefc12603e99cd414d9d9ec82068cf
Superful - Superuser Genesis Pass,1337,266.624487979589,1097,0xc97a4c9773ebfbba0f32ff147b9b29972aba0b38
Voyagers: Genesis,10000,264.700912264555,2797,0x4591c791790f352685a29111eca67abdc878863e
MoonPudgy,3247,261.5857633277887,962,0xe405ea33148a2b6fcba3125b469df87229a08d5a
Metropolis World Passport Official,5000,259.449527599881,1899,0x0a16305612706b4eabce43247d61fe7fbed708e4
Children of Ukiyo,10000,259.404629801242,1605,0x3b3c2dacfdd7b620c8916a5f7aa6476bdfb1aa07
BGYC,10000,258.823581008338,2525,0x5d95c4c73e152727750df27ff7da1c7169430dd6
Cosmic Trippies,7928,257.8270401915739,1251,0xc934e429360e2b55d5ba95751d31d3da1e3410cd
Nitropass by PUMA,4000,256.614506687999,583,0xf51bbb5726513b7005d25f2973309661e5206556
BiPlane Bobo,5000,252.468553843003,1388,0x88e5ef9fd7154727fa0268f26d188e77612e1d32
WEEDGANG.GAME - GENESIS STRAINS,6000,252.03084359589005,495,0xc5846767a9c0d5096d7b791de56b258bc7c69c5f
S7NS STATION,3196,248.425236863799,1383,0xa605ee5de62bf7b8cdee52ebaaf4563069279d14
Panda Astronaut Club,999,246.8945898999996,435,0x54a79ab6f5210fcb2c5fc914271a865003f15576
Mirs of Space,6969,245.58676979847542,3856,0x0a1e21c169ff261fe6f370068a4f71c25f096a55
Moondust Official,1799,241.16038711103997,875,0x0b3b95547a22bee3c03be558ec649dbd69af8476
We are Itsuki,6666,240.81370927271732,1978,0x25692da406889bf4db93f921063d9bc952bd01d0
NinjaFaith,1962,240.67249999999993,546,0x472cc4402f4819354da3334e66b02072ae2cd3ba
il Pensiero by Rosalia Linari,845,239.82308098989992,164,0x3d6d52dd2150ef2315a2f13ec229c41910c52a7b
MetaZoo Games Beasties,5000,238.0759008,1288,0x44a46fc706798e203c405667e70802e5b18a2867
Allstarz Official,10000,236.41808952013582,2531,0xec0a7a26456b8451aefc4b00393ce1beff5eb3e9
Steve Aoki Avatars,3333,235.921627142557,2627,0xc7170a6c9218bfac05a5cd3d40003b0d04e8750a
YING: Hello New World,2105,235.78434968888925,403,0xfa626428d1133787a441ca72ea6671f0c5ec2ebe
Destroy and... Official,5000,235.27381366999154,1397,0xa5fb4e920c30a4a8158521783e527974ec6aee85
HertzCity Official,8121,234.02033770010007,2206,0x28b119e69748b17e9a33936edf0180f2eab9b6cc
Cosmic Clones,5555,233.17320784805247,1266,0xefe58f3ace7d7dac903b2cc2e18ef1858d4e2675
Proof of Pepe,5000,232.9252898039121,1651,0x2f46e37477ca4033d74986b15f0572e9913b4858
Sedimentary Geologico Dissolution by Landlines Art,661,231.28494190000018,508,0x024bba6cb351288487b7f93e6d76e07f6dcbe296
SAN Origin,9840,229.686001844833,3452,0x33333333333371718a3c2bb63e5f3b94c9bc13be
Yagiverse Genesis,3333,228.11840786245455,878,0xd3771e1aad236a9ff04b4ecef91ab88f45eabcc4
DickTown,1280,227.93433598462244,933,0x2f5824890cee39c20474ed8f03599d6d92a4084d
Artsy Monke,10000,227.516500389911,1477,0xa4bcd3b7f141ba1f08f36033fdfce691565561bc
Super Fried Chicken,5999,224.15967603288635,1699,0xb9b2267d3c35d1fb0bbf752b6205eea91a82cd84
ToyMories,7500,221.755980322002,1590,0xc3c62e97c85ea5d8d2edc39034e9dfc6452a50d1
Fancy Honey Jars,11873,220.30152268999956,2807,0x55f3bc084da207b7347538b74cc388deeb3ab448
CatBlox MetaPortal Collection,7912,220.300375077889,2759,0xfc599783f1164155c60108a3b303ce2f79cba07d
PG: JIRAVERSE,8069,219.9235905766736,3635,0xbd3f82a81c3f74542736765ce4fd579d177b6bc5
Petabytes,2022,219.48276511726795,1220,0x24832488049222007d86618160bae6f7cea9441f
Krapopolis Krap Chickens,2930,219.2164396192439,1540,0x5a57ed460bd0368bfcf48dd3dd246a56b4bbb891
lilverse,10000,218.472041429499,1852,0x8e0f07454850198f089ef10d083601a2a1644656
NFTMaps Land,11111,218.0980001516902,1974,0x892cc48335db97e7d4b3b6929086459b9a06931c
Lost In The Devil's Triangle,2022,217.97650899999942,677,0x2a809917563a4aba6009b7365a2972163075dacb
Kuroki Genesis,4000,215.231235489164,1532,0xd1b0cee386cebd9bce3d6b7279b98334f938cfd7
Thunder Valley,1000,214.171960778965,583,0xbaf13560f86d65e7a3b982bfc8838791cbc8f3af
Mecha Pilots - Mecha Penguins,7391,213.65991824404122,1668,0xab054a3b1cf3862fdaeb251ffb32c49d26755ecf
NGs by JakNFT x Kotegawa,1111,212.38295777757997,470,0x6e941b9f70bc34bd0083c1088603c3a5b0b2ab17
RECUR Pass (ETH),1127,212.05417565447004,372,0x7f8c5954e8e231e211578703024732616f9527ea
Zombie Ape Artist,1452,211.73192222219217,472,0xa0dcf49d64dc1ff060b8a5a6138b758c00b43e26
BEEBLE WORLD,555,210.42097997901,304,0xba12f0041dd2543749ec7f00c996a9d488aa5a21
The Stoics by Gabe Weis - thestoics.art,5000,209.164194033959,1538,0x12632d6e11c6bbc0c53f3e281ea675e5899a5df5
BestFriend Official,6500,207.611407396245,2224,0x06f192d8b7b07c58443fd2f60a03ebde58654643
Looks Whale Official,6969,207.388939891941,2499,0xc46608d8281a974905a6bdec48f671b76d5f22be
WAFUKU GEN,11111,206.36544740723,1780,0x04b392cc6cda280c41e6fd637359f6d7f3ecbc30
SUPER SPACEMONKEY WORLD,777,205.29152896901,405,0xfdc557437585ff75f9e4a5ce796d15091855dff9
YING: We Create The Future,3756,205.1040519900006,1276,0xbccc669cb89041aafc7834cc7a07c8d94b697791
Hume Genesis,1035,204.97664106778979,691,0xef44e83db68b9e6df9ce6cc9343653c733762617
Fools NFT,1111,204.91070515794723,562,0x29f9884510eb45f6cc60a378dd12440b45b2da83
PixTarzanApe,2012,204.17709163780003,667,0xe10411486ef2f83e3d3a948a31a73afefa7fb2e4
Suki Learns to Fly,5555,203.74374698226248,997,0x39223e2596bf8e1de3894f66947cacc614c24a2f
Primera by Mitchell and Yun,400,201.41851166712036,230,0x9bf53d8c65f03d895dacaa776cc960e462ecb599
plan-z,888,201.37508939628958,443,0x888f98efcffb7822e6eebd249262853db960dead
BEASTS Genesis,296,199.20309324444452,31,0x84cd7d13398e3a17ef47ff473cb3f312f9e34184
BoxcatPlanet Official,3000,195.38093228371,983,0x13bd972b0bfaefc9538a43c1fda11d71c720cd47
ASAGI - WAKA,1500,194.716368,715,0xdd510ce28dfd085d9cf58f5402ca6d63985e83c0
Teen Rebel Ape Club,7493,193.3320645000001,1710,0xa08b319f0f09ae8261db2034d43bf40c673f0ad0
Cats Project,717,190.8172897999999,207,0x78d67f130e80aaa0aad5d786585d36b130fd45dc
Model Eros Village,3888,190.557454102099,1011,0x70559bc227b5daa0e395e636ed4c97c3d4a21361
CRYPTYQUES.DESIRE,1321,188.0422999999997,382,0xe4758ebd21a66d4c48dd0cca0a1cc36ac84d5a70
9999 Luftballons,9683,188.02516584703855,1888,0x356e1363897033759181727e4bff12396c51a7e0
Moon Owls NFT,1500,187.68113422202592,606,0x69cdc3245c714a6b99cea9b43869e2b893a031ad
KUMALEON,2442,187.62103237979,1609,0x8270fc3b2d23de703b265b2abe008883954fea8e
HOSHIBOSHI GENESIS,321,186.914877,228,0x18882b5d6462be43be62350909d6ad96b8fe5578
ANIM.JP Official,6608,186.82443537589978,1753,0x8f2cef1cbff23d7d657ddbae39650bb860e87132
Pixie Jars,5000,184.34430221211514,1684,0xea508034fcc8eeff24bf43effe42621008359a2e
Very long CNP,11111,181.669113766002,2955,0xcfe50e49ec3e5eb24cc5bbce524166424563dd4e
Menji's World Official,5000,180.58547499932,1183,0x3efde3541dec397387a559829d8e2f061763fe7f
The MoonkysNFT,8966,180.34219774787763,2128,0xea67b4dd7bacae340bc4e43652044b5cded1963c
Joey Mob,5500,177.06568555568842,1282,0x9d46c1bfdb45b0e751d70c1baa777536392e215c
RandomPandaClub,10000,177.022453,420,0x9ac70d7d63701e230446885776818d7734eb33f6
V3Phunks,9999,175.360934911521,1428,0xb7d405bee01c70a9577316c1b9c2505f146e8842
Monster Cave - Roasting Firepit,4620,175.09133174334306,516,0xb578f948df1f2e401522f8774229497c2bdddfff
DROP'S - META KAWAII,3000,173.70414815915947,1066,0x7867b3ac827426fe68a308e1011394f688cb7ec5
Dolce&Gabbana Realta Parallela,10754,173.6362221128896,2555,0x5d26060847445efb92c6f03d1382bcdd07b67280
Real Vision Pro Crypto Genesis Collection,2569,173.02276599999988,2497,0x76236b6f13f687d0bbedbbce0e30e9f07d071c1c
Kawaii Meta Collage - Opera Meets Metaverse supported by Mitsubishi Estate,5555,171.692805599999,1291,0x32b5cad3bc188c0f54a1259a47c719e4c6314a89
Vitalik Pumps,5000,167.8663385413331,1574,0x0965811aad6f8d534a7a879d5f5d119d4bae82e6
Real Goblins,606,167.82083568637742,261,0x53225e9f83dd01c44c6fad1cce5c0a6f9b240427
The Randoms NFTs,8888,166.9780028531999,2133,0x79aa05963c92a2a10d96bd840eb5e73a1e675e92
StrayDogz Official,7777,166.54869263673925,1379,0xea97fc2c61b8faf98f20ba81aa8a2cf117eb04dc
Lana Del Taco,6970,165.376426194665,1153,0x6f3aca0d7d5d8639e314bd20b79abb3e51c06f47
The Eye (for Adventurers),1616,164.91215768629493,567,0xb8a51862964f77025abb65e2c6a39ee8070c8ed4
Doomsday Garden,3368,164.64920207911024,839,0x1bc841d3080bd4f4c64bd207206ebd3774bb108a
BearTings NFT,5000,164.34773166106004,1997,0x881c822cba3325a8692c37c470d2f9654454df84
World of Pepe Official,999,163.35376789734,659,0xd30a54192b482125b86db9fa230666b0ddb68c2f
Sneaks of Nature,3333,161.075005764198,906,0x2d894a69c3e1f9c5dd01a4070ff63cd3d1b0e986
The Odd Dystrict,5001,160.4205014115498,1571,0x71eaa691b6e5d5e75a3ebb36d4f87cbfb23c87b0
Otoko NFT,9999,159.8603200958299,4887,0x41ef41011e9394b26b424b0ccd13eacf58ac04ab
The Magus World,6666,159.70273267404446,2737,0xc2bbcf69b37844c4dd1e0eedb5e9f5c6e7314b2c
Misfits project,7652,158.34385322747062,3016,0xca850e26ffe8cc8294a7e9ccea30f3eedd98edd6
BUTTHEADS,8888,158.23134652606188,2789,0xafed2f17c749ed2705a558966cbbb343ff09e02d
Timeline Transit Company,9999,157.53430543543988,2672,0xeccae88ff31e9f823f25beb404cbf2110e81f1fa
Jackson On Chain NFT,27,157.24805369528357,585,0x877bec43dd0e3555eda424e0e0601ed0750aa3cc
Broman NFT,5024,156.41294775672873,1822,0x0e534224d71b95ff3ae4ac2bd97e364c8414a4c3
WulfBoySocialClub,4444,155.828244838699,901,0x8935c97ec10c7e8dab5b9c794e3da6a76ab50108
D3LUSION,7000,155.502615396214,2037,0x2c0d708c6e82dc6c427ce6a96ba5ff2ea09be272
Billionaire Birds - official,4444,154.98328238467883,2090,0xb83baa12ae1764137850dbd8fc9a4b80645c5934
Legend Maps Adventurers,8787,153.98833949649867,1740,0xca72fecc4bdb993650654a9881f2be15a7875796
SuperCreators - Gen Z,1916,153.227823,640,0xc2bae2cdef63bcb0ba60bb02cd67d912f8371c3d
Enter Shizuka - Genesis Collection,1555,151.3031804424947,827,0x0732156088264b59ee9287851c4457326127ec3e
Cool Cookies,8888,151.141577120865,2472,0xf880b2a16f257d0b9b8ab64351a07a4137527c82
SHIBA ARMY by ShibaDoge,7065,150.961443879,173,0x0e043e39e1f9382e4b3cb9b859a1452a93993be7
Truplay Genesis RhymVerse Heroes,6651,149.384764986416,3004,0xce0f25934deaaddd174427f1978bcd487a85e9fa
Angry Dynomites Lab - Fire Dynos,500,148.556470958888,202,0xee85b6ce11276b50c72b2504776f8faa36f29931
Hellfire By BEEBLE,1000,147.4939907085138,534,0x39d1ce0ed423c56c262ef025e0619e91ae31e8b7
Project Kaito,7777,147.35718570107196,3281,0x31a7d612788277457c03e34ecd4efe4d6e6a8e39
NoNo's NFT Official,8500,146.79424262256737,1520,0xc2d29135b7252dd4d18ba9ca375b10ff61c860a8
BullsOnTheBlock Evo,6585,145.354979072062,1912,0x6069a6c32cf691f5982febae4faf8a6f3ab2f0f6
Truffle Pass,333,143.923991899999,273,0xbd6053ee89f2a9bb063d6a7bf1f4648054de9f13
Mihaverse Butterfly,1111,143.56665425052014,625,0x569718d9e7562312cebf9316c31d000c80d542e3
Tokyo Clone - Official,3333,143.5120138298903,1570,0xc1830ab819941dd996567981d35f6e82162d44f0
NEKOMEKA,5240,143.30100955654598,1534,0x2a3203df40f9aaee7c5cb587f2f2846653e3828e
DeBox Guardians Penguin,2048,142.28207714788,548,0x58cff419613c00a4828f774df8c2ca134dea97ce
Akyllers,4444,141.838968518925,1269,0x145ac4edffae802d8260d64e5720e4b210039c71
WeAbove Prime,1550,141.236420933264,843,0xd0aaac09e7f9b794fafa9020a34ad5b906566a5c
KIDO: Memories of Childhood,3167,137.6612844444439,1047,0x11ab28b493d7b777e4e7dff7f38765bff2d30727
Last Essence Official,3444,137.30701632008,1472,0x2b934db3169783de4ccb6f24a3039605df8f8b05
Official Amazing Pandaverse,2829,137.26050870000003,975,0x9515dc155712c39d9959bcf4bc6e0adf77577767
Pillheads NFT,52,136.49349430039769,1363,0x1b23d0f0f6dc3547c1b6945152acbfd6eaad85b0
3gm Genesis Pass,333,136.212430068,242,0xbb52d85c8de311a031770b48dc9f91083e6d12b1
Bone Ducks,6555,135.47831072193307,3599,0x05fe4e1c113272211fa00983f162d04cd202ff53
MeepsNFT,5555,135.18913818937807,2836,0xb2df5bde8432c83a8a1919cc610fa9aef5e53348
Meta Ape Militia,10000,134.687170308896,989,0x749cda693c2f29bf894df5b7060034cb675ee631
TESTNFT_s,1507,134.04999999999993,16,0x2348c23542a9d48dafbcbf55b322653ac366240f
3gm AI Banners,4909,133.703107502136,1677,0x085d8213b41eac0a6c5533900a15495af68dd358
Angry Ape Army Valkyrie Collection,4444,133.37629,1200,0x6f50b93b61259593634a3067adafd93f1b8d0aba
9Tales GENESIS,515,133.20635900000002,289,0x367d3a87cc46fd91d202bd2b3ebe820fb010cadd
LEGION X : THE X PANTHERS,7070,132.94752258344448,2107,0x4b8980db839e6fef23c39011498a146f5dfadfe9
Official Chief Toad,10000,132.20636657898865,3126,0x2385cb9a3ee427e9dcb0d759436d06c43cfc41ee
The Dumbkeys,3333,131.70974408996912,1083,0x821ac60092ab33ac357cfb7c64037b435c06c5d3
Babies By Coolman,9599,131.38036155679958,3835,0x3243ac6f63f75e260346a14e1d1445f2a2708444
marimo.life,10000,130.725317421135,3746,0xa35aa193f94a90eca0ae2a3fb5616e53c1f35193
3DBirds,10000,130.29612716894854,4553,0xcb897d3a455f55e38ea192ea85af8cd19ca65239
WhIsBe Vandalz,3269,130.16068899989,698,0x61cece14e222385d5ac83f3d0cbd518f5feb3559
Bulldroids NFT Official,6000,129.9391700095862,2566,0xb0a747d220f3f793e1e16bf068f27c3aa3eb7a44
Senshi Official,5500,127.72718919765593,2054,0x8740540363ecd1e426333b2af89b5d8bd3606002
Chibi Frens,7623,127.14148558944841,2276,0x65922260237378b75fd2fef9f6236ab1dd5776aa
Louis Moinet Space Revolution,1000,125.81848866695896,636,0x76acf2775374b6b8731aba327447020e9d8ab869
The Bagholders,7790,125.74212335117814,2164,0x444e68716dad3e3de014dd718dce79b739403488
Celephais: Dreamers,3333,123.3407824699008,1349,0xe41c7e05838f180938ad08643d7a2fe0a9e5f4e4
The Sevens Eve,10777,122.759007019174,3221,0xc3cd69649394bf1a18a7a0c7f90e4d0e4f1a9758
The Estates Collection,4444,121.34125572091843,743,0x6b123105e9a4c56f1ee2eb012bda74664ec63515
Light Cult Crypto Club,8109,121.20776085131058,1526,0xbe85fbd182af91290be7293438ae67549638189f
Mythicals Origins,4000,121.0585948999987,897,0xb815a7b23af0eb154be308eaa3f6d300fc0b1cf8
Mintify Lifetime Membership,796,120.00862899999998,587,0x6712545a0d1d8595d1045ea18f2f386ffca7ca90
PhasesNFT-Official,2222,119.97660759868053,862,0x8052a3765df60dff44eb911982c8ef1ca107ba1a
BABYZUKI  BBZ,2042,119.44594432389064,740,0xbe588550f82aa9207e84d07b305767cf33249dc9
DOPE: Dawn Of the Pixel Empire,10000,118.7825799143522,933,0xdc8c9988212ba573ce74bcc2444042f2f8f39101
EngravMoonBirds V2,1212,118.58609999999999,533,0xd6f1c3fe29056d02345cb0a2976380c14991f47b
ThePixelatedApes,10001,116.43867971490582,2510,0x101884c6c941b1a70e2c5597f33889023db9da23
EnfantsTerribles,7777,115.96714088378535,2384,0xbe38ad09706a5f8e932871a616196ec82c07d3ef
avril15 season two,351,115.83634559798996,294,0x74eb87fc36286b17371370940798b7068ae7ae36
Drunk Robots,9792,115.339619440971,2344,0x2f073c4a897c615101fe4df00ea0869191c6fa8d
Citizens of Tajigen,4138,115.14868238578997,1497,0xb000a4933107033a4e5483a1576eda178f769508
De-Generations L,1576,114.492773919,664,0x305a07835d5ce2670552b1d1ecf18810857faccb
WereTheOnlyOnesLeft,3333,114.35455620416906,2196,0xa9507bd8abe68de8ba518902e85398ce3fa7b3a1
Cosa Monstra Genesis,1322,114.268779125955,396,0xfb95762610b09fc586ec6e01fe87b15ab95c15ab
HalfHidingNFT - Official,7777,113.445993158901,1049,0x54e20b3c0b7c48de0dd0a483380572e45741f9b4
shouters.xyz,5555,111.46888398272257,1843,0xecc0140a81cd0b331091750a4420a33325e31f4a
Old Ape Country Club Official,5000,108.69550303352949,1706,0x652d68c39d3545714d9bf4616f778424a34cf603
Lovecatz,3333,108.47121747367714,1222,0x088124837ed205cfc23e57f6aaab2abac628e0be
AZITO Land Deed,3000,108.35904258999,1126,0xb3e82707653d41e67d159703c251b35fd765e83e
EPICS // MERGE,8296,107.918732713374,2050,0x95cdb0fbf3ccadabba38acc921a9b2381329f727
omgkirby,5000,107.90833084652982,1784,0x480711809d2c4622fe3f7ef09ee6a7fe6b8649f1
8PES by dvnci,888,107.135667463355,517,0xf7de31669f4f9386cf000ff6b412e405d0535b74
Crypto Marcs,5000,106.66092304633312,958,0xe9b91d537c3aa5a3fa87275fbd2e4feaaed69bd0
Namida_Official,5555,106.18826757597517,2009,0x81cf764150665ee2f4fa62ca1a9ff4324b29ec2b
DragonTown,10000,105.53604028887285,4661,0x7140400c663da4c4fe6adbc26340fc17827c5481
Skull'edz,6666,104.879799534076,2266,0x69eda943891e3730a56125a7e0340cb109b5532f
Random Ravers GG,5000,104.155198296615,1634,0x48da0766131fd6a099da1af852dc740e80b60e70
Small Graffiti,5555,103.87300276029015,2272,0xaa099b15ee2ad59e7c2eb553bcb184cb2473f21f
Secret by Emanuele Ferrari,1369,103.832591990223,564,0x2b6edb48a1fe01ba427509cf3dace7f47c3c7a19
TheFuckUps,5555,103.00140462002474,1984,0xf5b969064b91869fbf676ecabccd1c5563f591d0
Blokpax First Editions Punk 1859,2500,102.306685303915,927,0xe67f0887d22409c329054edfcbf6ac0d0d4cf3b1
PaperHands Official,2676,102.09702099543269,492,0x863846e7ed0d21824104b425672af7b9c6097f8f
PARTICIPANTS NFT,3333,101.97642676729025,1628,0xc8ccad799d1d7b142c49b7873d8bcf96511b6eb0
The Alien Doogle,10000,101.52026170322202,2972,0x08e795c30476bac6052b28fcda04e44792c7151f
BioApes,1800,101.4013729898,395,0x04e062345c34ea36b2804a04cd7a99f8c26333d8
Fury of the Fur Teds,9671,100.3926430453243,1862,0x06bdc702fb8af5af8067534546e0c54ea4243ea9
Moonbirds At Home,10000,100.35028014078173,1973,0x4ecd988f2861e479f7eb2e94bbb48709b9a2cb5b
Dininho Adventures,3333,99.58316290394195,1582,0x5733e9490472ac6be02a879f7c3e19eceabc24be
Daydreamers NFT,7000,98.11615748179197,2535,0x5069fbffb1f65e6c3d9efe7c70c4c0d13524e960
"Tamagogi (Deprecated, do not buy)",2000,97.8853415439995,969,0x2841413795bbe4e42c1a8558b3e55ecde4a12014
EPICBEAST,8591,97.5156309255784,4763,0x6fe9c57ae423d14e78cdd5877d16558bb959d303
EmoHeads by Javirroyo,10000,97.1160593767021,1887,0xe627aea89a1faf8f0ff770bf242b1cc9515f1952
Elements by WetPotatoBrain,500,96.38639462787891,207,0xf873581b3c3e840e24c55024e8e9be865f94dc27
256ART,4096,96.17556085094898,1365,0x44e4afa4b442f11693844d425fb29aeddfa0f33e
DreamWorldNFTs,3315,96.09785423041431,1888,0xcdbf12722615269158d8959abe47cc83caddb112
Loner Girl,10000,95.49757824853349,2427,0xb80a9006695ff06ac0e6c83e5b4bdeb1c4cd339f
ONEWORDBRICK,3333,95.4112143230999,1627,0x880ed873dde83f533564903c8aebb6e9fa9f8c81
Supreme Bananas,3000,95.02235709,278,0xf59afe732b2793d541780fd02945228db1fad8ed
BTFDRabbits,10000,94.69818470709396,1927,0xe83dd605b70b47c8af86580bdd4fcb987ff36e60
Big Free Party,4444,94.54050654750554,2347,0x974ad1d02bbb05d809f137e644c86a1dd7e28afc
REKT Collective OG,1111,94.0681059976059,681,0x73e096a6cecf53692386e7747c0fba5f2773079d
DVDA The Cult,1000,92.8018,830,0xc084a29dd0c9436568435938b1c6c5af4f5c035f
The Asylum Halls - The Sylvesters,1595,91.8956642176584,663,0x9db76501e0e433851f9b4a907c449576a6155545
SLICE OF HEAVEN BY BEEBLE,1000,91.46487439790025,414,0x90702bd8f020de7d5c1ff6730ac9582741b9155a
Grandpa Apes,4400,91.455934166789,1394,0x581e4fd879eff9d2f36012c4dad563f64a2f250d
AMATO Official,5555,89.6584120897548,1343,0x1ffcd1f2511d4a277a7efc08a4f3e808544f6ab0
0xTHULU Relic of Membership,5908,88.5029315577693,1215,0xb60c2019ddb48623ed1d134b2bb42f437c6a0202
MoonJaks,5420,88.31253668387005,1715,0x3c6d92f1db872469c8dbc04ff6301b766214a712
9Tales Phase 1,2345,88.2981557300411,960,0x4f94a08744fa36fae992a4f8830c65e37e8f388b
